,name,img,color
0,白いサワー,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/white_sour/thumb.png,"[241.6324476819914, 241.15002736951718, 239.27397644807957]"
1,グレープ,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/grape/thumb.png,"[236.8805715924142, 189.94545845730283, 214.68854663455653]"
2,もも,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/peach/thumb.png,"[225.60381794246314, 188.2640586796929, 177.75970942261262]"
3,アイスティーサワー,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/icetea_sour/thumb.png,"[145.45541578255938, 36.924269980834424, 36.19053753664164]"
4,白ぶどう,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/white_grape/thumb.png,"[209.11797265989802, 223.1601322793002, 121.24346119159037]"
5,ハピクルサワー,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/hapicle_sour/thumb_open.png,"[239.101008011442, 229.8195922820083, 210.07069244365385]"
6,ミックスフルーツ,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/mix_fruit/thumb_open.png,"[241.24344334695874, 230.95345699835084, 163.33185577768177]"
7,カシスとオレンジ,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/cassis_orange/thumb.png,"[180.63352586317313, 68.54285714285524, 97.93330766268144]"
8,梅酒ソーダ,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/ume_soda/thumb.png,"[245.26025701795308, 227.34705324698183, 184.1324590508645]"
9,グレフルソルティ,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/grapefruit_salty/thumb.png,"[10.341349365416981, 89.53209120945121, 164.7719041687262]"
10,はちみつレモン,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/honey_lemon/thumb.png,"[238.890330487683, 237.08674245625897, 230.38244865175363]"
11,コーラサワー,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/coke_sour/thumb.png,"[16.24346754319742, 11.473968775646178, 10.219654889108014]"
12,サイダーサワー,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/cider_sour/thumb.png,"[52.211536023653096, 176.56761039509843, 183.16399746461116]"
13,ジンジャー,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/ginger/thumb.png,"[6.513213337520028, 115.98683537520589, 64.11968726406151]"
