,name,img,link,color
0,カルカソンヌ(Carcassonne),https://x.boardgamearena.net/data/themereleases/200422-1124/games/carcassonne/200303-1331/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=carcassonne,"[2.2240218918997954, 1.5503291176551102, 1.7168108867503662]"
1,世界の七不思議(7Wonders),https://x.boardgamearena.net/data/themereleases/200422-1124/games/sevenwonders/200213-1215/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=sevenwonders,"[3.8158094115787833, 5.181244212494974, 6.791312400030165]"
2,キングドミノ(Kingdomino),https://x.boardgamearena.net/data/themereleases/200422-1124/games/kingdomino/200213-1216/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=kingdomino,"[0.9383290266961382, 2.6864771748668517, 1.176658053395613]"
3,ニムト(6nimmt!),https://x.boardgamearena.net/data/themereleases/200422-1124/games/sechsnimmt/200213-1217/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=sechsnimmt,"[240.69334376084328, 196.1283454987948, 7.833072645109468]"
4,テラミスティカ(TerraMystica),https://x.boardgamearena.net/data/themereleases/200422-1124/games/terramystica/200412-1543/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=terramystica,"[0.8769417930027643, 0.9429159648026229, 0.777746584322756]"
5,キャントストップ(Can'tStop),https://x.boardgamearena.net/data/themereleases/200422-1124/games/cantstop/200213-1216/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=cantstop,"[0.39313944818039204, 0.2965697240815146, 0.6407158836806559]"
6,ストーンエイジ(StoneAge),https://x.boardgamearena.net/data/themereleases/200422-1124/games/stoneage/200213-1216/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=stoneage,"[1.3517508183811344, 0.7038984227614264, 0.49389941474088417]"
7,花火(Hanabi),https://x.boardgamearena.net/data/themereleases/200422-1124/games/hanabi/200213-1217/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=hanabi,"[48.00903342366362, 47.14021880959316, 87.6102579544301]"
8,プエルトリコ(PuertoRico),https://x.boardgamearena.net/data/themereleases/200422-1124/games/puertorico/200214-0957/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=puertorico,"[1.488315629758418, 1.168968133530953, 1.1224582701066197]"
9,タケノコ(Takenoko),https://x.boardgamearena.net/data/themereleases/200422-1124/games/takenoko/200213-1218/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=takenoko,"[1.133849644047956, 1.1932253774770487, 0.8192912462010042]"
