name,img,link
"
カルカソンヌ(Carcassonne)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/carcassonne/200303-1331/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=carcassonne
"
世界の七不思議(7Wonders)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/sevenwonders/200213-1215/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=sevenwonders
"
キングドミノ(Kingdomino)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/kingdomino/200213-1216/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=kingdomino
"
ニムト(6nimmt!)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/sechsnimmt/200213-1217/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=sechsnimmt
"
テラミスティカ(TerraMystica)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/terramystica/200412-1543/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=terramystica
"
キャントストップ(Can'tStop)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/cantstop/200213-1216/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=cantstop
"
ストーンエイジ(StoneAge)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/stoneage/200213-1216/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=stoneage
"
花火(Hanabi)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/hanabi/200213-1217/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=hanabi
"
プエルトリコ(PuertoRico)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/puertorico/200214-0957/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=puertorico
"
タケノコ(Takenoko)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/takenoko/200213-1218/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=takenoko
"
十二季節の魔法使い(Seasons)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/seasons/200310-0942/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=seasons
"
すしゴー!(SushiGo!)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/sushigo/200402-0948/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=sushigo
"
ダイスフォージ(DiceForge)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/diceforge/190821-2328/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=diceforge
"
フレンチ・タロット(FrenchTarot)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/frenchtarot/200410-1917/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=frenchtarot
"
お邪魔者(Saboteur)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/saboteur/200214-1609/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=saboteur
"
ラ・グランハ(LaGranja)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/lagranja/200422-0207/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=lagranja
"
レース・フォー・ザ・ギャラクシー(RacefortheGalaxy)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/raceforthegalaxy/200214-1053/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=raceforthegalaxy
"
ソロ(Solo)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/solo/200410-1950/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=solo
"
スルー・ジ・エイジズ-新たなる文明の物語
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/throughtheagesnewstory/200214-1521/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=throughtheagesnewstory
"
クランズ・オブ・カレドニア(ClansofCaledonia)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/clansofcaledonia/200421-1637/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=clansofcaledonia
"
ラブレター(LoveLetter)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/loveletter/200213-1218/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=loveletter
"
ヤッツィー(Yahtzee)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/yatzy/200228-0906/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=yatzy
"
ロール・フォー・ザ・ギャラクシー(RollfortheGalaxy)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/rollforthegalaxy/200214-1553/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=rollforthegalaxy
"
ロストシティ(LostCities)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/lostcities/200213-1218/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=lostcities
"
ジャイプル(Jaipur)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/jaipur/200221-1802/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=jaipur
"
ブロット(Belote)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/belote/181010-1103/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=belote
"
コルト・エクスプレス(ColtExpress)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/coltexpress/181010-1104/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=coltexpress
"
ツォルキン(Tzolk'in)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/tzolkin/190510-1402/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=tzolkin
"
東海道(Tokaido)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/tokaido/200221-1844/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=tokaido
"
トック(Tock)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/toc/200421-1701/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=toc
"
ハーツ(Hearts)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/hearts/160920-1147/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=hearts
"
ロシアンレールロード(RussianRailroads)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/russianrailroads/200224-1831/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=russianrailroads
"
フォー・セール(ForSale)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/forsale/200218-1002/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=forsale
"
レッド7(Red7)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/redsevengame/200309-0947/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=redsevengame
"
インカの黄金(IncanGold)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/incangold/200224-1752/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=incangold
"
イノベーション(Innovation)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/innovation/200127-1823/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=innovation
"
バックギャモン
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/backgammon/200213-1219/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=backgammon
"
クー(Coup)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/coupcitystate/200421-0449/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=coupcitystate
"
ミラーズホロウの人狼(TheWerewolvesofMiller'sHollow)
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/werewolves/200221-2130/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=werewolves
"
中世の建築士たち
",https://x.boardgamearena.net/data/themereleases/200422-1124/games/thebuilders/170724-1654/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=thebuilders
