name,img
白いサワー,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/white_sour/thumb.png
グレープ,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/grape/thumb.png
もも,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/peach/thumb.png
アイスティーサワー,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/icetea_sour/thumb.png
白ぶどう,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/white_grape/thumb.png
ハピクルサワー,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/hapicle_sour/thumb_open.png
ミックスフルーツ,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/mix_fruit/thumb_open.png
カシスとオレンジ,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/cassis_orange/thumb.png
梅酒ソーダ,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/ume_soda/thumb.png
グレフルソルティ,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/grapefruit_salty/thumb.png
はちみつレモン,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/honey_lemon/thumb.png
コーラサワー,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/coke_sour/thumb.png
サイダーサワー,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/cider_sour/thumb.png
ジンジャー,https://www.suntory.co.jp/rtd/horoyoi/assets/img/product/ginger/thumb.png
